Date,Scope,Country,State,"# Players",Rank,Faction,"Ship Points","# Ships","# Uniques","# Large","# Small",Skill,Attack,Agility,Hull,Shields,List
"2014-11-06","World championship","United States of America","Minnesota",114,1,rebel,84,4,1,1,3,19,9,7,14,11,"Bandit Squadron Pilot, Tala Squadron Pilot, Tala Squadron Pilot, Han Solo (Rebel Alliance)"
"2014-11-06","World championship","United States of America","Minnesota",114,2,imperial,86,5,2,0,5,18,12,14,14,2,"""Whisper"", ""Howlrunner"", Academy Pilot, Academy Pilot, Academy Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,3,rebel,85,4,1,1,3,21,9,7,14,11,"Tala Squadron Pilot, Tala Squadron Pilot, Tala Squadron Pilot, Han Solo (Rebel Alliance)"
"2014-11-06","World championship","United States of America","Minnesota",114,4,rebel,94,4,3,0,4,24,11,8,11,8,"Rookie Pilot, Biggs Darklighter, Wedge Antilles, Airen Cracken"
"2014-11-06","World championship","United States of America","Minnesota",114,5,imperial,80,3,1,0,3,12,12,6,6,6,"Sigma Squadron Pilot, Sigma Squadron Pilot, ""Echo"""
"2014-11-06","World championship","United States of America","Minnesota",114,6,imperial,99,7,2,0,7,28,14,21,21,0,"Academy Pilot, Obsidian Squadron Pilot, Obsidian Squadron Pilot, Obsidian Squadron Pilot, Black Squadron Pilot, ""Backstabber"", ""Howlrunner"""
"2014-11-06","World championship","United States of America","Minnesota",114,7,rebel,82,4,1,1,3,15,9,7,14,11,"Han Solo (Rebel Alliance), Bandit Squadron Pilot, Bandit Squadron Pilot, Bandit Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,8,rebel,84,4,0,0,4,8,11,4,14,18,"Blue Squadron Pilot, Blue Squadron Pilot, Blue Squadron Pilot, Gold Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,9,imperial,86,5,2,0,5,18,12,14,14,2,"""Whisper"", ""Howlrunner"", Academy Pilot, Academy Pilot, Academy Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,10,rebel,90,5,0,0,5,10,13,7,13,19,"Blue Squadron Pilot, Blue Squadron Pilot, Blue Squadron Pilot, Bandit Squadron Pilot, Bandit Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,11,imperial,80,3,2,1,2,18,10,6,10,7,"Omicron Group Pilot, Soontir Fel, ""Whisper"""
"2014-11-06","World championship","United States of America","Minnesota",114,12,imperial,92,6,1,0,6,12,14,17,17,2,"""Whisper"", Academy Pilot, Academy Pilot, Academy Pilot, Academy Pilot, Academy Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,13,rebel,84,4,0,0,4,8,11,4,14,18,"Blue Squadron Pilot, Blue Squadron Pilot, Blue Squadron Pilot, Gold Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,14,rebel,71,2,2,1,1,17,4,3,12,6,"Han Solo (Rebel Alliance), Jan Ors"
"2014-11-06","World championship","United States of America","Minnesota",114,15,imperial,92,5,5,0,5,34,11,15,15,0,"Soontir Fel, ""Backstabber"", ""Night Beast"", ""Dark Curse"", ""Howlrunner"""
"2014-11-06","World championship","United States of America","Minnesota",114,16,imperial,99,7,2,0,7,29,14,21,21,0,"""Howlrunner"", ""Backstabber"", Obsidian Squadron Pilot, Obsidian Squadron Pilot, Obsidian Squadron Pilot, Obsidian Squadron Pilot, Obsidian Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,17,rebel,96,3,3,1,2,19,9,5,14,9,"Biggs Darklighter, Chewbacca (Rebel Alliance), Wedge Antilles"
"2014-11-06","World championship","United States of America","Minnesota",114,18,imperial,99,7,1,1,6,15,15,19,23,5,"Omicron Group Pilot, Academy Pilot, Academy Pilot, Academy Pilot, Academy Pilot, Academy Pilot, ""Howlrunner"""
"2014-11-06","World championship","United States of America","Minnesota",114,19,imperial,98,7,2,0,7,26,14,21,21,0,"Academy Pilot, Academy Pilot, Obsidian Squadron Pilot, Obsidian Squadron Pilot, Black Squadron Pilot, ""Dark Curse"", ""Howlrunner"""
"2014-11-06","World championship","United States of America","Minnesota",114,20,rebel,86,4,2,1,3,15,8,7,16,10,"Tala Squadron Pilot, Bandit Squadron Pilot, Roark Garnet, Chewbacca (Rebel Alliance)"
"2014-11-06","World championship","United States of America","Minnesota",114,21,rebel,83,3,1,1,2,17,8,4,13,12,"Tala Squadron Pilot, Dagger Squadron Pilot, Han Solo (Rebel Alliance)"
"2014-11-06","World championship","United States of America","Minnesota",114,22,rebel,90,5,0,0,5,10,13,7,13,19,"Blue Squadron Pilot, Blue Squadron Pilot, Blue Squadron Pilot, Bandit Squadron Pilot, Bandit Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,23,imperial,86,3,1,2,1,12,10,5,13,11,"Omicron Group Pilot, Bounty Hunter, ""Whisper"""
"2014-11-06","World championship","United States of America","Minnesota",114,24,imperial,78,3,3,0,3,19,10,7,7,4,"""Dark Curse"", ""Echo"", ""Whisper"""
"2014-11-06","World championship","United States of America","Minnesota",114,25,rebel,81,4,1,1,3,17,9,7,14,11,"Tala Squadron Pilot, Tala Squadron Pilot, Tala Squadron Pilot, Chewbacca (Rebel Alliance)"
"2014-11-06","World championship","United States of America","Minnesota",114,26,imperial,77,3,2,1,2,20,8,7,11,7,"Omicron Group Pilot, Soontir Fel, Darth Vader"
"2014-11-06","World championship","United States of America","Minnesota",114,27,rebel,96,8,0,0,8,16,16,16,16,16,"Bandit Squadron Pilot, Bandit Squadron Pilot, Bandit Squadron Pilot, Bandit Squadron Pilot, Bandit Squadron Pilot, Bandit Squadron Pilot, Bandit Squadron Pilot, Bandit Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,28,rebel,80,4,1,1,3,15,9,7,14,11,"Chewbacca (Rebel Alliance), Tala Squadron Pilot, Tala Squadron Pilot, Bandit Squadron Pilot"
"2014-11-06","World championship","United States of America","Minnesota",114,29,rebel,82,3,3,0,3,20,9,5,9,9,"Keyan Farlander, Biggs Darklighter, Luke Skywalker"
"2014-11-06","World championship","United States of America","Minnesota",114,30,rebel,86,4,2,0,4,21,10,9,9,9,"Tala Squadron Pilot, Tala Squadron Pilot, ""Hobbie"" Klivian, Corran Horn"
"2014-11-06","World championship","United States of America","Minnesota",114,31,imperial,100,8,0,0,8,16,16,24,24,0,"Obsidian Squadron Pilot, Obsidian Squadron Pilot, Obsidian Squadron Pilot, Obsidian Squadron Pilot, Academy Pilot, Academy Pilot, Academy Pilot, Academy Pilot"
